# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles:P'
# Event count (approx.): 1305366482
#
# Overhead  Command          Shared Object                     Symbol                                                                                                                                                                                                                                                              
# ........  ...............  ................................  ....................................................................................................................................................................................................................................................................
#
     0.05%  journal-offline  [kernel.kallsyms]                 [k] psi_task_switch
     0.05%  kworker/12:1H-k  [kernel.kallsyms]                 [k] __blk_rq_map_sg
     0.05%  StreamTrans #24  libc.so.6                         [.] 0x0000000000198898
     0.05%  gdbus            libc.so.6                         [.] argz_create_sep
     0.05%  gnome-terminal-  libgdk-3.so.0.2409.32             [.] 0x000000000004bc43
     0.05%  InputThread      [kernel.kallsyms]                 [k] mutex_lock
     0.05%  tracker-extract  [kernel.kallsyms]                 [k] mas_update_gap.part.0
     0.05%  ksoftirqd/14     [i915]                            [k] intel_set_transcoder_timings
     0.05%  kworker/2:1-i91  [kernel.kallsyms]                 [k] free_vmap_area_noflush
     0.05%  StreamTrans #24  libxul.so                         [.] 0x0000000003d69c0d
     0.05%  StreamTrans #24  libc.so.6                         [.] 0x000000000019880d
     0.05%  tracker-extract  [kernel.kallsyms]                 [k] do_sys_openat2
     0.05%  StreamTrans #24  libxul.so                         [.] 0x0000000002b8bdf2
     0.05%  gnome-terminal-  libvte-2.91.so.0.7600.0           [.] 0x000000000002a357
     0.05%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x0000000000028904
     0.05%  swapper          [kernel.kallsyms]                 [k] hrtimer_forward
     0.05%  StreamTrans #24  libc.so.6                         [.] 0x0000000000198962
     0.05%  swapper          [kernel.kallsyms]                 [k] ct_irq_enter
     0.05%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a8c4
     0.05%  swapper          [kernel.kallsyms]                 [k] __handle_irq_event_percpu
     0.05%  swapper          [kernel.kallsyms]                 [k] menu_reflect
     0.05%  firefox          libc.so.6                         [.] pthread_mutex_unlock
     0.05%  StreamTrans #24  libc.so.6                         [.] 0x0000000000198827
     0.05%  swapper          [kernel.kallsyms]                 [k] raw_spin_rq_lock_nested
     0.05%  swapper          [idma64]                          [k] 0x0000000000000c15
     0.05%  tracker-miner-f  [kernel.kallsyms]                 [k] __memcg_slab_free_hook
     0.05%  gnome-shell      libglib-2.0.so.0.8000.0           [.] 0x000000000005b7f7
     0.05%  swapper          [snd_hda_codec]                   [k] 0x000000000000f063
